id;name;type;lat;lng
420701;ORLĄT LWOWSKICH;--;52.190993;20.865673
420901;PRAŻMOWSKA;--;52.192920;20.879240
420902;PRAŻMOWSKA;--;52.192060;20.878370
421001;KUŹNICY KOŁŁĄTAJOWSKIEJ;--;52.188930;20.877180
421002;KUŹNICY KOŁŁĄTAJOWSKIEJ;--;52.188950;20.876360
421101;URSUS-SANKTUARIUM;--;52.191674;20.861269
421102;URSUS-SANKTUARIUM;--;52.191540;20.861520
421201;PAROWCOWA;--;52.211820;20.913600
421202;PAROWCOWA;--;52.212330;20.913890
421301;WAŁOWICKA;--;52.208790;20.913870
421302;WAŁOWICKA;--;52.208590;20.914370
421303;WAŁOWICKA;--;52.209920;20.914660
